Time, hxTrue x, hxTrue y, hxDr x, hxDr y, hxEst x, hxEst y
0.100000, 0.000000, 0.000000, 0.016294, 0.000000, 0.029236, 0.000000
0.200000, 0.000000, 0.000000, 0.022167, 0.000011, 0.048817, 0.003292
0.300000, 0.000000, 0.000000, 0.024471, 0.000022, 0.064109, 0.000926
0.400000, 0.000000, 0.000000, 0.035251, 0.000108, 0.083447, -0.000724
0.500000, 0.000000, 0.000000, 0.034312, 0.000096, 0.087056, -0.002357
0.600000, 0.000000, 0.000000, 0.040192, 0.000183, 0.099141, 0.000157
0.700000, 0.000000, 0.000000, 0.070091, 0.000815, 0.133658, 0.000659
0.800000, 0.000000, 0.000000, 0.057700, 0.000466, 0.128414, -0.000702
0.900000, 0.000000, 0.000000, 0.060870, 0.000567, 0.137331, 0.001659
1.000000, 0.000000, 0.000000, 0.070993, 0.000854, 0.147244, 0.001748
1.100000, 0.000000, 0.000000, 0.077478, 0.001068, 0.161651, 0.001842
1.200000, 0.000000, 0.000000, 0.079451, 0.001139, 0.170231, 0.000872
1.300000, 0.000000, 0.000000, 0.079283, 0.001132, 0.175757, 0.002125
1.400000, 0.000000, 0.000000, 0.092872, 0.001702, 0.198217, 0.002662
1.500000, 0.000000, 0.000000, 0.099201, 0.001994, 0.209655, 0.003424
1.600000, 0.000000, 0.000000, 0.115984, 0.002849, 0.236843, 0.005031
1.700000, 0.000000, 0.000000, 0.115396, 0.002817, 0.240217, 0.005511
1.800000, 0.000000, 0.000000, 0.130672, 0.003662, 0.265438, 0.006389
1.900000, 0.000000, 0.000000, 0.131927, 0.003738, 0.284717, 0.008385
2.000000, 0.000000, 0.000000, 0.142690, 0.004418, 0.295916, 0.008838
2.100000, 0.000000, 0.000000, 0.147061, 0.004697, 0.312482, 0.009308
2.200000, 0.000000, 0.000000, 0.157672, 0.005368, 0.331618, 0.010161
2.300000, 0.000000, 0.000000, 0.168892, 0.006054, 0.344892, 0.010220
2.400000, 0.000000, 0.000000, 0.190458, 0.007361, 0.372767, 0.011760
2.500000, 0.000000, 0.000000, 0.204358, 0.008282, 0.404436, 0.013046
2.600000, 0.000000, 0.000000, 0.204427, 0.008287, 0.400680, 0.012921
2.700000, 0.000000, 0.000000, 0.203621, 0.008230, 0.372587, 0.014313
2.799999, 0.000000, 0.000000, 0.213400, 0.008968, 0.384111, 0.015598
2.899999, 0.000000, 0.000000, 0.227089, 0.010037, 0.404160, 0.017275
2.999999, 0.100000, 0.000000, 0.333778, 0.018422, 0.512491, 0.025227
3.099999, 0.199995, 0.001000, 0.417721, 0.025436, 0.598068, 0.031930
3.199999, 0.299975, 0.003000, 0.524053, 0.035644, 0.711063, 0.042389
3.299999, 0.399930, 0.005999, 0.632676, 0.047917, 0.824336, 0.054478
3.399999, 0.499850, 0.009998, 0.735120, 0.061228, 0.978738, 0.064148
3.499999, 0.599725, 0.014996, 0.839378, 0.076416, 1.090688, 0.080232
3.599999, 0.699545, 0.020993, 0.950059, 0.093885, 1.203100, 0.098349
3.699999, 0.799300, 0.027987, 1.047480, 0.110915, 1.304573, 0.116286
3.799999, 0.898980, 0.035978, 1.159347, 0.132252, 1.418645, 0.137479
3.899998, 0.998576, 0.044966, 1.254118, 0.151292, 1.508724, 0.154450
3.999998, 1.098076, 0.054950, 1.346312, 0.170637, 1.595266, 0.165863
4.099998, 1.197472, 0.065927, 1.456368, 0.195380, 1.697235, 0.179646
4.199998, 1.296753, 0.077899, 1.553850, 0.219108, 1.789043, 0.192749
4.299998, 1.395909, 0.090862, 1.651742, 0.243714, 1.878856, 0.208045
4.399998, 1.494930, 0.104816, 1.753076, 0.270407, 2.010922, 0.242284
4.499998, 1.593807, 0.119760, 1.868496, 0.301360, 2.136291, 0.263313
4.599998, 1.692530, 0.135692, 1.969346, 0.329670, 2.242961, 0.282427
4.699998, 1.791088, 0.152610, 2.075816, 0.361564, 2.349216, 0.304030
4.799998, 1.889473, 0.170513, 2.177830, 0.393480, 2.456949, 0.328325
4.899998, 1.987673, 0.189399, 2.290456, 0.429734, 2.576036, 0.356810
4.999998, 2.085680, 0.209266, 2.402923, 0.467652, 2.695537, 0.367828
5.099998, 2.183483, 0.230112, 2.488535, 0.497625, 2.790708, 0.393633
5.199997, 2.281073, 0.251935, 2.593693, 0.536456, 2.901628, 0.425829
5.299997, 2.378439, 0.274733, 2.699034, 0.577135, 3.014812, 0.459768
5.399997, 2.475573, 0.298503, 2.812382, 0.623020, 3.140980, 0.499045
5.499997, 2.572464, 0.323243, 2.910472, 0.664383, 3.246972, 0.532882
5.599997, 2.669103, 0.348952, 3.013088, 0.709250, 3.330530, 0.578022
5.699997, 2.765481, 0.375625, 3.119257, 0.757443, 3.443424, 0.622754
5.799997, 2.861586, 0.403260, 3.230576, 0.810365, 3.554727, 0.667285
5.899997, 2.957411, 0.431855, 3.318537, 0.853295, 3.645351, 0.703982
5.999997, 3.052944, 0.461407, 3.425152, 0.906955, 3.748250, 0.759211
6.099997, 3.148178, 0.491913, 3.516227, 0.954840, 3.848280, 0.803125
6.199996, 3.243101, 0.523370, 3.607172, 1.004432, 3.947300, 0.848923
6.299996, 3.337705, 0.555774, 3.698593, 1.055784, 4.047066, 0.896596
6.399996, 3.431981, 0.589123, 3.778990, 1.102667, 4.135107, 0.940364
6.499996, 3.525918, 0.623413, 3.869889, 1.156647, 4.246129, 0.997487
6.599996, 3.619508, 0.658640, 3.954637, 1.208767, 4.335263, 1.045585
6.699996, 3.712740, 0.694802, 4.053597, 1.271702, 4.439077, 1.102123
6.799996, 3.805607, 0.731894, 4.148299, 1.333486, 4.537781, 1.156563
6.899996, 3.898098, 0.769913, 4.233570, 1.390655, 4.610988, 1.191652
6.999996, 3.990204, 0.808854, 4.313177, 1.445649, 4.701581, 1.244222
7.099996, 4.081916, 0.848715, 4.397448, 1.505445, 4.796802, 1.301121
7.199996, 4.173225, 0.889491, 4.494126, 1.575269, 4.900594, 1.363972
7.299995, 4.264122, 0.931178, 4.586109, 1.643976, 5.017276, 1.434406
7.399995, 4.354597, 0.973772, 4.674609, 1.712137, 5.110381, 1.491917
7.499995, 4.444641, 1.017269, 4.748258, 1.771057, 5.187814, 1.541932
7.599995, 4.534246, 1.061664, 4.837088, 1.844041, 5.282490, 1.606097
7.699995, 4.623403, 1.106952, 4.908717, 1.904901, 5.355555, 1.658405
7.799995, 4.712102, 1.153130, 4.995194, 1.980842, 5.410872, 1.699385
7.899995, 4.800336, 1.200193, 5.072303, 2.050713, 5.493445, 1.758606
7.999995, 4.888094, 1.248135, 5.159376, 2.131266, 5.588714, 1.830028
8.099995, 4.975368, 1.296953, 5.235156, 2.202784, 5.665833, 1.890054
8.199995, 5.062150, 1.346641, 5.317467, 2.282980, 5.765788, 1.966593
8.299995, 5.148431, 1.397194, 5.391980, 2.358230, 5.845846, 2.029161
8.399996, 5.234202, 1.448608, 5.466936, 2.435945, 5.928823, 2.094085
8.499996, 5.319455, 1.500876, 5.543639, 2.518186, 6.022968, 2.182069
8.599997, 5.404180, 1.553995, 5.615241, 2.597561, 6.101293, 2.253104
8.699997, 5.488370, 1.607958, 5.687216, 2.678681, 6.185171, 2.330471
8.799997, 5.572016, 1.662761, 5.758814, 2.762141, 6.267553, 2.408144
8.899998, 5.655110, 1.718397, 5.820406, 2.835101, 6.307744, 2.458073
8.999998, 5.737644, 1.774861, 5.880684, 2.908523, 6.387444, 2.537739
9.099998, 5.819609, 1.832148, 5.944302, 2.987654, 6.468354, 2.618984
9.199999, 5.900997, 1.890251, 6.014764, 3.077917, 6.558940, 2.711246
9.299999, 5.981800, 1.949165, 6.086199, 3.172214, 6.650708, 2.804965
9.400000, 6.062009, 2.008885, 6.150052, 3.259376, 6.722923, 2.885008
9.500000, 6.141618, 2.069403, 6.206380, 3.339016, 6.787665, 2.959779
9.600000, 6.220617, 2.130715, 6.271041, 3.432244, 6.867594, 3.051434
9.700001, 6.298999, 2.192814, 6.337483, 3.530577, 6.971525, 3.162558
9.800001, 6.376756, 2.255693, 6.398030, 3.623328, 7.047030, 3.251890
9.900002, 6.453881, 2.319347, 6.457580, 3.716927, 7.115972, 3.335763
10.000002, 6.530365, 2.383768, 6.515555, 3.811216, 7.184997, 3.422678
10.100002, 6.606201, 2.448952, 6.565963, 3.895162, 7.246907, 3.507350
10.200003, 6.681382, 2.514890, 6.621341, 3.990886, 7.315589, 3.602801
10.300003, 6.755899, 2.581577, 6.672267, 4.081351, 7.377493, 3.691897
10.400003, 6.829746, 2.649006, 6.724607, 4.178095, 7.444151, 3.787872
10.500004, 6.902915, 2.717170, 6.774573, 4.274153, 7.502998, 3.883875
10.600004, 6.975398, 2.786062, 6.820453, 4.365875, 7.560686, 3.974304
10.700005, 7.047189, 2.855675, 6.865997, 4.459373, 7.618832, 4.065103
10.800005, 7.118280, 2.926003, 6.917523, 4.566789, 7.703218, 4.191000
10.900005, 7.188665, 2.997039, 6.956331, 4.649070, 7.756446, 4.276979
11.000006, 7.258336, 3.068774, 7.000061, 4.743415, 7.817016, 4.374890
11.100006, 7.327285, 3.141203, 7.045945, 4.845342, 7.880667, 4.480881
11.200006, 7.395507, 3.214318, 7.087864, 4.943091, 7.933450, 4.574257
11.300007, 7.462995, 3.288111, 7.120946, 5.022039, 7.990742, 4.674196
11.400007, 7.529741, 3.362575, 7.158959, 5.114087, 8.038243, 4.760108
11.500008, 7.595740, 3.437703, 7.199458, 5.216498, 8.088991, 4.853771
11.600008, 7.660984, 3.513487, 7.235459, 5.308573, 8.139727, 4.945156
11.700008, 7.725466, 3.589920, 7.274779, 5.412052, 8.185417, 5.015745
11.800009, 7.789181, 3.666994, 7.305357, 5.494648, 8.231179, 5.100076
11.900009, 7.852122, 3.744701, 7.344476, 5.602277, 8.288755, 5.207397
12.000010, 7.914283, 3.823034, 7.375677, 5.691933, 8.338527, 5.303779
12.100010, 7.975658, 3.901984, 7.412354, 5.799925, 8.392196, 5.409031
12.200010, 8.036240, 3.981544, 7.446094, 5.903526, 8.440300, 5.507697
12.300011, 8.096023, 4.061706, 7.478043, 6.004668, 8.499533, 5.616279
12.400011, 8.155002, 4.142462, 7.509829, 6.108430, 8.545283, 5.712414
12.500011, 8.213170, 4.223804, 7.540397, 6.214345, 8.591685, 5.813349
12.600012, 8.270522, 4.305723, 7.569082, 6.318654, 8.638024, 5.915310
12.700012, 8.327052, 4.388211, 7.595591, 6.420810, 8.687399, 6.022574
12.800013, 8.382754, 4.471261, 7.619025, 6.517712, 8.729119, 6.115899
12.900013, 8.437623, 4.554863, 7.644389, 6.625842, 8.773530, 6.215889
13.000013, 8.491653, 4.639010, 7.670713, 6.741893, 8.825148, 6.333574
13.100014, 8.544840, 4.723693, 7.691627, 6.838991, 8.876033, 6.453755
13.200014, 8.597177, 4.808904, 7.711461, 6.937256, 8.916094, 6.552456
13.300014, 8.648659, 4.894634, 7.731642, 7.042037, 8.962197, 6.665323
13.400015, 8.699281, 4.980875, 7.749742, 7.144048, 8.982895, 6.758686
13.500015, 8.749038, 5.067617, 7.765540, 7.245625, 9.017836, 6.864744
13.600016, 8.797925, 5.154852, 7.779683, 7.345524, 9.048889, 6.963445
13.700016, 8.845938, 5.242572, 7.792862, 7.448785, 9.078866, 7.061837
13.800016, 8.893070, 5.330768, 7.802979, 7.536794, 9.076670, 7.089596
13.900017, 8.939319, 5.419431, 7.811436, 7.616437, 9.099434, 7.170213
14.000017, 8.984678, 5.508552, 7.822237, 7.727829, 9.131142, 7.287491
14.100018, 9.029144, 5.598122, 7.830265, 7.823630, 9.155852, 7.384955
14.200018, 9.072713, 5.688132, 7.836700, 7.915338, 9.182184, 7.497248
14.300018, 9.115379, 5.778573, 7.843167, 8.023687, 9.206482, 7.607572
14.400019, 9.157139, 5.869436, 7.848551, 8.139946, 9.230686, 7.725622
14.500019, 9.197988, 5.960712, 7.852073, 8.240849, 9.249176, 7.819795
14.600019, 9.237922, 6.052392, 7.854803, 8.352038, 9.297708, 8.046802
14.700020, 9.276937, 6.144467, 7.856078, 8.463490, 9.322500, 8.177621
14.800020, 9.315029, 6.236928, 7.856278, 8.578755, 9.346631, 8.303202
14.900021, 9.352195, 6.329765, 7.854966, 8.688663, 9.378618, 8.443904
15.000021, 9.388431, 6.422969, 7.852384, 8.802234, 9.402215, 8.569915
15.100021, 9.423733, 6.516531, 7.848697, 8.910838, 9.422310, 8.683180
15.200022, 9.458097, 6.610440, 7.843640, 9.015100, 9.426799, 8.793202
15.300022, 9.491521, 6.704689, 7.836454, 9.128120, 9.441146, 8.914169
15.400023, 9.524000, 6.799267, 7.827859, 9.240106, 9.454250, 9.035568
15.500023, 9.555532, 6.894166, 7.819223, 9.335573, 9.465623, 9.134304
15.600023, 9.586114, 6.989375, 7.810133, 9.423633, 9.472410, 9.232470
15.700024, 9.615742, 7.084885, 7.798135, 9.527884, 9.478637, 9.341982
15.800024, 9.644413, 7.180686, 7.784956, 9.635721, 9.484203, 9.452587
15.900024, 9.672125, 7.276770, 7.771918, 9.733324, 9.482981, 9.553522
16.000025, 9.698874, 7.373126, 7.755922, 9.839761, 9.484285, 9.668227
16.100025, 9.724660, 7.469744, 7.738544, 9.947357, 9.483693, 9.785995
16.200026, 9.749477, 7.566616, 7.718604, 10.062786, 9.487198, 9.942958
16.300026, 9.773325, 7.663731, 7.698742, 10.169414, 9.488966, 10.056180
16.400026, 9.796201, 7.761079, 7.679696, 10.265862, 9.489889, 10.163040
16.500027, 9.818102, 7.858651, 7.659544, 10.360829, 9.492984, 10.277916
16.600027, 9.839025, 7.956438, 7.636334, 10.462516, 9.490812, 10.378895
16.700027, 9.858971, 8.054428, 7.613688, 10.556946, 9.487766, 10.483559
16.800028, 9.877934, 8.152614, 7.587352, 10.658910, 9.484743, 10.606729
16.900028, 9.895916, 8.250983, 7.559326, 10.760824, 9.476489, 10.709003
17.000029, 9.912912, 8.349528, 7.524464, 10.879108, 9.465148, 10.827677
17.100029, 9.928923, 8.448238, 7.493631, 10.979343, 9.454721, 10.927609
17.200029, 9.943945, 8.547104, 7.459743, 11.085977, 9.443949, 11.095396
